ratings,rev_head,revs
5.0,Good product and fast shipping,Faster than I expected. So far so good for the price. May update later after more usage.
5.0,Perfect!!,This product was exactly what I wanted. It came securely packaged and was in perfect condition out of the box. Price was excellent for everything this laptop comes with. Extremely satisfied
4.0,Great laptop for the price,My fiance loved his new laptop
