ratings,rev_head,revs
5.0,so far so good,struggled to pick out a new laptop to many opinions bought this one with 8 g memory and a 256 ssd drive so I have to say came on time botted right up works great hope I made some good choices but so far so good
5.0,a good laptop,"A great laptop, decent size, the specs are good. All in all, a really good device."
5.0,Bang for your buck.,"Great computer for basic home use. It's quick, sleek and easy to navigate."
5.0,Excellent home computer,Easy to set up
4.0,It is a good type with large letters and easy to handle,I like it and am happy with it
1.0,The WORST!,DON'T waste your money on this!
