ratings,rev_head,revs
5.0,Great,Great
4.0,Great laptop for the price,"Great laptop specs for the price, the only bad thing that the delay on shipping"
5.0,Thanks.,"I got it 5 days earlier than the proposed date. I wish there was a charger suitable for UK, but not a big problem. Thank you for the product."
5.0,Outstanding,Wonderful
5.0,Recomendada,Si es de mi agrado
