ratings,rev_head,revs
5.0,Good for price,Good for simple stuff
5.0,Love the light-weight Chrome Book.,So far the Chrome Book has been just as good as the more expensive Macs!
5.0,Está exelente,"Está perfecta  tamaño, peso  diseño, todo perfecto👍"
5.0,SO much better than my old HP laptop!,"I had a business class HP laptop for the past 3 years, and while it was dependable and easy to use, it seemed that every time it got a Windows update, something else stopped working properly."
5.0,Hp  laptop chromebook,Hp  chrome book laptop is a nice piece of equipment. I will cherish it for years. Thank you amazon.
